id,class_name,start_time,start_time_tag,duration_value,duration_tag,health_club_name,area,address,attendance_mode,sport_catalog,muscle_group,audience_type
c23,BEGINNERS BAG KICKBOXING,2022-10-11T09:00:00+02:00,Morning,60,Normal,Underground Sportclub,Centrum,Nieuwe Kerkstraat 5k 1018DW Amsterdam,Offline,"Boxing, Crossfit, Hiit, Kickboxing","Arms, Chest, Legs",Beginner
c24,Reformer - Booty Pump,2022-10-11T09:00:00+02:00,Morning,45,Normal,BodyBase Studios Amsterdam,Zuid,Ceintuurbaan 223 1074 CW Amsterdam,Offline,"Kickboxing, Other","Booty, Legs",Beginner
c25,Barre + Beats,2022-10-11T09:15:00+02:00,Morning,60,Normal,Studio 191 West,West,Jan Hanzenstraat 54 1053 ST Amsterdam,Offline,"Barre, Dance, Hiit, Other, Pilates, Pre/post-natal, Yoga",Full body,Beginner
c26,Step & Shape met Rowena,2022-10-11T09:30:00+02:00,Morning,60,Normal,Anytime Fitness Zuidas,Zuid,Wijenburg 90A 1082 VW Amsterdam,Offline,"Barre, Boxing, Crossfit, Dance, Fitness, Other",Full body,Intermediate
c27,Bad Ass,2022-10-11T09:30:00+02:00,Morning,30,Short,Sport Natural,Noord,Gare du Nord  1022L Amsterdam,Offline,"Dance, Fitness, Other, Yoga",Booty,Beginner
c28,Zak/ Bag training,2022-10-11T09:45:00+02:00,Morning,60,Normal,The JYM Movement,Centrum,Haarlemmer Houttuinen 519 1013 GM Amsterdam,Offline,"Boxing, Hiit, Martial arts","Arms, Chest, Legs",Beginner
c29,'ABS'olutely Core,2022-10-11T09:45:00+02:00,Morning,30,Short,Kensho Premium Fitness,Centrum,Czaar Peterstraat 20 1018 PR Amsterdam,Offline,"Barre, Bbb, Body balance, Body shape, Cycling, Dance, Hiit, Kickboxing, Other, Pilates, Steps, Yin yoga, Yoga",Core,Intermediate
c30,Bootyblast,2022-10-11T10:00:00+02:00,Morning,60,Normal,Clubsportive,Zuid,Gustav Mahlerlaan 24 1082 MC Amsterdam,Offline,"Bbb, Body shape, Boxing, Cycling, Fitness, Hiit, Hot yoga, Other, Pilates, Yin yoga, Yoga","Booty, Core, Legs",Beginner
c31,Step - Joy,2022-10-11T18:00:00+02:00,Afternoon,60,Normal,Palestra Sports,West,Marius Bauerstraat 233 1062 AH Amsterdam,Offline,"Fitness, Pilates","Booty, Legs",Intermediate
c32,StepShape,2022-10-11T19:00:00+02:00,Evening,60,Normal,Only4Ladies,Oost,Tweede Oosterparkstraat 79A 1091 HX Amsterdam,Offline,"Bbb, Body shape, Bootcamp, Boxing, Other, Pilates, Steps, Yoga","Booty, Core, Legs",Beginner
c33,Squash baan,2022-10-11T19:00:00+02:00,Evening,60,Normal,Hotel & Wellness Zuiver Squash,Zuid,Koenenkade 8 1081 KH Amsterdam,Offline,"Fitness, Fun, Other, Racket sports",Arms,Beginner
c34,breathwork.,2022-10-11T19:00:00+02:00,Evening,60,Normal,Melt Mind & Life,Other,Amsterdamseweg 157 1182 GT Amstelveen,Offline,"Hot yoga, Mindfulness, Pilates, Yoga",Full body,Beginner
c35,Exotic pole level 1 |107|,2022-10-11T19:00:00+02:00,Evening,60,Normal,Dance For Your Pole,Centrum,Tussen de Bogen 107 1013JB Amsterdam,Offline,Pole dance,Full body,Beginner
c36,Pole Dance level 3 |105|,2022-10-11T19:00:00+02:00,Evening,60,Normal,Dance For Your Pole,Centrum,Tussen de Bogen 107 1013JB Amsterdam,Offline,Pole dance,Full body,Beginner
c37,Stretching All levels |111|,2022-10-11T19:00:00+02:00,Evening,60,Normal,Dance For Your Pole,Centrum,Tussen de Bogen 107 1013JB Amsterdam,Offline,Pole dance,Full body,Beginner
c38,Spinning,2022-10-11T19:00:00+02:00,Evening,60,Normal,The Crunch Fitness & Healthclub,Noord,Vlierweg 44 1032 LG Amsterdam,Offline,"Bootcamp, Boxing, Crossfit, Cycling, Dance, Fitness, Pilates, Yoga",Full body,Intermediate
c39,StepShape,2022-10-11T19:30:00+02:00,Evening,60,Normal,Kensho Premium Fitness,Centrum,Czaar Peterstraat 20 1018 PR Amsterdam,Offline,"Barre, Bbb, Body balance, Body shape, Cycling, Dance, Hiit, Kickboxing, Other, Pilates, Steps, Yin yoga, Yoga","Booty, Core, Legs",Intermediate
c40,Ballet - Beginners,2022-10-11T19:45:00+02:00,Evening,90,Long,Zhembrovskyy de Pijp,Zuid,Van Woustraat 149Hs 1073RX Amsterdam,Offline,"Dance, Other",Full body,Beginner
c41,Barre Burn,2022-10-11T19:45:00+02:00,Evening,60,Normal,JSX Studio De Pijp,Zuid,Van Ostadestraat 105 1072 ST Amsterdam,Offline,Barre,Full body,Beginner
c42,BJJ,2022-10-11T20:00:00+02:00,Evening,60,Normal,Gym Royale,Noord,Klaprozenweg 42 1032 KL Amsterdam,Offline,"Hiit, Kickboxing, Martial arts, Other, Yoga","Arms, Chest, Legs",Beginner
c43,BJJ no Gi,2022-10-12T07:00:00+02:00,Morning,60,Normal,Gym Royale,Noord,Klaprozenweg 42 1032 KL Amsterdam,Offline,"Hiit, Kickboxing, Martial arts, Other, Yoga","Arms, Chest, Legs",Advanced
c44,StepShape | Garage |,2022-10-12T09:00:00+02:00,Morning,55,Normal,Femme Gym,West,Vancouverstraat 6hs 1056 DV Amsterdam,Offline,"Barre, Bbb, Body shape, Bootcamp, Boxing, Cycling, Dance, Essentrics, Hiit, Kickboxing, Other, Pilates, Pre/post-natal, Steps, Yin yoga, Yoga","Booty, Core, Legs",Beginner
